 ,Label,Area,Mean,StdDev,Mode,Min,Max,X,Y,IntDen,Median,RawIntDen
1,duplicate,0.000,40,0,40,40,40,56.212,4.604,2.067,40,40
2,duplicate,0.000,22,0,22,22,22,55.643,6.650,1.137,22,22
3,duplicate,0.000,12,0,12,12,12,54.961,7.787,0.620,12,12
4,duplicate,0.000,10,0,10,10,10,53.143,19.893,0.517,10,10
5,duplicate,0.000,11,0,11,11,11,52.233,24.951,0.569,11,11
6,duplicate,0.000,23,0,23,23,23,53.199,29.612,1.189,23,23
7,duplicate,0.000,22,0,22,22,22,49.505,34.159,1.137,22,22
8,duplicate,0.000,25,0,25,25,25,49.221,34.841,1.292,25,25
9,duplicate,0.000,14,0,14,14,14,49.619,40.241,0.724,14,14
10,duplicate,0.000,23,0,23,23,23,50.073,42.059,1.189,23,23
11,duplicate,0.000,48,0,48,48,48,49.789,44.503,2.481,48,48
12,duplicate,0.000,89,0,89,89,89,49.960,45.526,4.600,89,89
13,duplicate,0.000,30,0,30,30,30,52.461,54.620,1.551,30,30
14,duplicate,0.000,12,0,12,12,12,53.029,60.077,0.620,12,12
15,duplicate,0.000,15,0,15,15,15,53.256,61.441,0.775,15,15
16,duplicate,0.000,7,0,7,7,7,57.178,76.673,0.362,7,7
17,duplicate,0.000,123,0,123,123,123,57.803,79.401,6.358,123,123
18,duplicate,0.000,17,0,17,17,17,59.110,80.424,0.879,17,17
19,duplicate,0.000,16,0,16,16,16,60.759,83.039,0.827,16,16
20,duplicate,0.000,13,0,13,13,13,62.464,86.051,0.672,13,13
21,duplicate,0.000,17,0,17,17,17,63.828,87.358,0.879,17,17
22,duplicate,0.000,19,0,19,19,19,69.682,93.440,0.982,19,19
23,duplicate,0.000,17,0,17,17,17,70.421,97.817,0.879,17,17
24,duplicate,0.000,8,0,8,8,8,70.421,98.840,0.413,8,8
25,duplicate,0.000,19,0,19,19,19,70.251,101.852,0.982,19,19
26,duplicate,0.000,14,0,14,14,14,71.671,103.387,0.724,14,14
27,duplicate,0.000,17,0,17,17,17,72.524,105.603,0.879,17,17
28,duplicate,0.000,37,0,37,37,37,78.378,112.367,1.912,37,37
29,duplicate,0.000,23,0,23,23,23,80.197,112.935,1.189,23,23
30,duplicate,0.000,11,0,11,11,11,76.957,111.230,0.569,11,11
