File,ROI_length,Count
WTPG_C5_01_W1561_T.stk,505.265,2
GFPPG_C6_01_W1561_T.stk,493.991,4
MUT2PG_C3_01_W1561_T.stk,401.551,1
MUT2PG_C2_01_W1561_T.stk,389.373,1
WTPG_C1_01_W1561_T.stk,543.332,6
GFPPG_C5_01_W1561_T.stk,441.493,0
MUT2PG_C8_01_W1561_T.stk,536.008,0
WTPG_C7_01_W1561_T.stk,323.929,3
MUT2PG_C1_01_W1561_T.stk,422.977,3
WTPG_C8_01_W1561_T.stk,391.280,0
GFPPG_C1_01_W1561_T.stk,421.642,3
MUT2PG_C6_01_W1561_T.stk,400.521,2
MUT2PG_C5_01_W1561_T.stk,429.187,1
GFPPG_C4_01_W1561_T.stk,512.139,2
GFPPG_C10_01_W1561_T.stk,612.839,4
WTPG_C3_01_W1561_T.stk,447.448,0
WTPG_C6_01_W1561_T.stk,493.959,2
MUT2PG_C4_01_W1561_T.stk,564.904,5
MUT2PG_C7_01_W1561_T.stk,344.641,0
GFPPG_C2_01_W1561_T.stk,614.563,9
WTPG_C4_01_W1561_T.stk,387.667,8
GFPPG_C9_01_W1561_T.stk,547.347,5
WTPG_C2_01_W1561_T.stk,344.309,7
GFPPG_C8_01_W1561_T.stk,509.995,6
